,City,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed,Country,Date
271,Horsham,51.064,-0.3272,61.5,76,0,3.44,GB,1623549739
272,Kalengwa,-13.4659,25.0027,47.62,68,44,5.61,ZM,1623549739
273,Vorotynets,56.0603,45.8633,58.39,95,39,5.21,RU,1623549739
274,Matinha,-3.1006,-45.0336,71.55,98,13,3.24,BR,1623549805
275,Ballaghaderreen,53.9,-8.5833,53.4,99,46,6.35,IE,1623549805
276,Issa,53.8705,44.8578,58.33,95,12,6.67,RU,1623549805
277,Disna,55.568,28.1971,55.6,98,100,8.39,BY,1623549806
278,College,64.8569,-147.8028,72.46,47,99,1.01,US,1623549806
279,Ratnapura,6.6828,80.3992,77.88,93,81,4.16,LK,1623549806
280,Huntington,38.4193,-82.4452,76.37,92,60,3.51,US,1623549807
281,Wasilla,61.5814,-149.4394,71.37,51,75,3.0,US,1623549665
282,Santa Maria,-29.6842,-53.8069,51.67,86,0,3.13,BR,1623549686
283,Geraldton,-28.7667,114.6,61.21,82,40,9.22,AU,1623549807
284,Salalah,17.0151,54.0924,81.81,85,74,6.22,OM,1623549807
285,Ligayan,4.6533,119.4706,82.89,67,100,3.47,PH,1623549808
286,Fereydūnkenār,36.6864,52.5225,73.85,72,33,4.07,IR,1623549808
287,Lompoc,34.6391,-120.4579,79.41,83,90,13.8,US,1623549663
288,Coyhaique,-45.5752,-72.0662,34.54,97,38,5.26,CL,1623549808
289,Ndioum,16.5129,-14.6471,82.17,52,40,15.17,SN,1623549809
290,Kariba,-16.5167,28.8,56.86,58,0,3.53,ZW,1623549809
291,Waipawa,-41.4122,175.5153,57.04,71,100,15.64,NZ,1623549809
292,Maumere,-8.6199,122.2111,82.71,72,36,3.53,ID,1623549809
293,Tambopata,-12.7333,-69.1833,63.48,83,52,1.81,PE,1623549810
294,Broome,42.2506,-75.833,66.83,87,13,0.51,US,1623549810
295,Ubud,-8.5098,115.2654,79.92,69,89,4.94,ID,1623549810
296,Barcelos,41.5388,-8.6151,70.92,68,99,3.96,PT,1623549622
297,Yavaros,26.7,-109.5167,90.45,73,43,10.98,MX,1623549811
298,Batagay-Alyta,67.8006,130.4114,57.74,32,9,6.93,RU,1623549811
299,Ferme-Neuve,46.7001,-75.4493,57.74,52,100,3.2,CA,1623549811
300,Datong,40.0936,113.2914,75.22,50,100,3.78,CN,1623549812
301,Mount Isa,-20.7333,139.5,76.77,16,27,6.91,AU,1623549679
302,Alta Floresta,-9.8756,-56.0861,74.26,67,89,3.51,BR,1623549645
303,Sørland,67.667,12.6934,48.92,80,100,16.22,NO,1623549619
304,Auki,-8.7676,160.7034,82.53,76,22,3.42,SB,1623549812
305,Bétaré Oya,5.6,14.0833,67.3,96,100,2.64,CM,1623549812
306,Angoche,-16.2325,39.9086,66.58,80,0,8.88,MZ,1623549813
307,Ridgecrest,35.6225,-117.6709,99.64,7,0,1.01,US,1623549604
308,Lima,-12.0432,-77.0282,63.9,86,9,5.21,PE,1623549789
309,Rumoi,43.9344,141.6428,69.62,67,3,11.77,JP,1623549813
310,Ambulu,-8.345,113.6058,83.55,63,7,2.55,ID,1623549814
311,Zheleznodorozhnyy,55.7503,38.0042,59.36,89,54,2.73,RU,1623549638
312,Maku,39.2911,44.4521,59.99,53,0,1.41,IR,1623549814
313,Chaman,30.9236,66.4512,85.21,7,0,3.47,PK,1623549814
314,Manicoré,-5.8092,-61.3003,75.92,70,12,1.83,BR,1623549815
315,Kavieng,-2.5744,150.7967,85.28,67,5,13.31,PG,1623549815
316,Sola,-13.8833,167.55,79.95,66,87,16.98,VU,1623549815
317,Buala,-8.145,159.5921,84.47,69,18,5.28,SB,1623549815
318,Marawi,7.9986,124.2928,76.64,60,99,0.65,PH,1623549816
319,Magadan,59.5667,150.8,51.87,64,0,5.23,RU,1623549816
320,Maniitsoq,65.4167,-52.9,37.09,82,66,7.11,GL,1623549816
321,Kulhudhuffushi,6.6221,73.07,81.93,79,100,17.22,MV,1623549817
322,Laguna,38.421,-121.4238,91.9,45,1,7.0,US,1623549882
323,Ola,59.5833,151.2833,51.57,61,7,6.31,RU,1623549774
324,Viedma,-40.8135,-62.9967,55.18,67,43,4.52,AR,1623549882
325,Galle,6.0367,80.217,81.01,83,94,15.37,LK,1623549883
326,Beringovskiy,63.05,179.3167,37.09,98,100,7.94,RU,1623549883
327,Severnyy,50.677,36.5532,57.24,94,0,4.47,RU,1623549883
328,Bundaberg,-24.85,152.35,73.69,25,1,3.44,AU,1623549883
329,Cockburn Town,21.4612,-71.1419,79.88,83,90,15.79,TC,1623549884
330,Espera Feliz,-20.6503,-41.9072,55.53,98,57,1.66,BR,1623549884
331,Santa Catarina de Tepehuanes,25.35,-105.7333,79.11,26,100,20.78,MX,1623549884
332,Oussouye,12.485,-16.5469,80.78,77,100,5.88,SN,1623549885
333,Saint-Pierre,-21.3393,55.4781,71.24,73,0,6.91,RE,1623549885
334,Udachny,66.4167,112.4,47.77,76,100,12.19,RU,1623549885
335,Nieuw Amsterdam,5.8833,-55.0833,75.02,96,95,5.14,SR,1623549886
336,Talnakh,69.4865,88.3972,34.07,94,14,7.96,RU,1623549886
337,Zarand,30.8127,56.564,83.35,13,0,5.19,IR,1623549886
338,Amapá,1.0,-52.0,72.16,98,100,0.51,BR,1623549887
339,Riyadh,24.6877,46.7219,78.94,18,0,12.24,SA,1623549887
340,Kawalu,-7.3817,108.2082,80.96,73,90,2.17,ID,1623549887
341,Sheltozero,61.3667,35.3667,54.12,91,16,6.64,RU,1623549888
342,Kerema,-7.9631,145.7785,83.68,72,8,5.84,PG,1623549888
343,Kapit,2.0167,112.9333,83.79,66,99,3.11,MY,1623549888
344,Micheweni,-4.9667,39.8333,76.14,75,4,12.39,TZ,1623549889
345,Sur,22.5667,59.5289,89.33,58,0,4.85,OM,1623549889
346,George Town,5.4112,100.3354,85.95,74,20,8.05,MY,1623549715
347,New Ulm,44.3125,-94.4605,77.4,35,1,4.61,US,1623549889
348,Haines Junction,60.7522,-137.5108,67.6,30,92,8.16,CA,1623549889
349,Katsuura,35.1333,140.3,83.23,74,100,12.44,JP,1623549815
350,Ghanzi,-21.5667,21.7833,51.53,41,21,6.26,BW,1623549890
351,Huehuetán,15.0167,-92.3667,73.81,93,100,3.29,MX,1623549890
